Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2015 [YR2015],2020 [YR2020]
Caribbean small states,CSS,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,8962.46033719484,9895.47485218464,9035.15203708818
Central Europe and the Baltics,CEB,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,12818.9859271522,13258.4303745629,15824.0824023779
Early-demographic dividend,EAR,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2794.61074115554,3336.23982637304,3305.22624920405
East Asia & Pacific,EAS,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,7362.61427356094,9831.57147902454,11652.0757985037
East Asia & Pacific (excluding high income),EAP,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,3755.32160071509,6455.55940415309,8347.15229867587
East Asia & Pacific (IDA & IBRD countries),TEA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,3798.09820176587,6527.88756676961,8439.72748264939
Euro area,EMU,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,39883.0734303935,37740.7098224641,38138.7205560702
Europe & Central Asia,ECS,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,24606.4713666245,24726.1200793451,24080.2165465323
Europe & Central Asia (excluding high income),ECA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,7414.59474099456,8828.14777657489,7704.10184236382
Europe & Central Asia (IDA & IBRD countries),TEC,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,7997.87509215611,9279.26238991132,8592.32863680617
European Union,EUU,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,34804.5848769181,33421.9762658544,34282.4613228902
Fragile and conflict affected situations,FCS,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2146.00978590432,2028.74936716875,1723.23212042865
Heavily indebted poor countries (HIPC),HPC,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,783.653846945433,972.427645331394,965.456617166933
High income,HIC,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,39344.1388106561,41753.3900609787,43855.3183183853
IBRD only,IBD,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,4199.93119783379,5748.20190066261,6288.58251725872
IDA & IBRD total,IBT,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,3481.42547719853,4658.66596093022,5007.57006091213
IDA blend,IDB,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1462.10375426794,1979.88495321229,1737.04862871503
IDA only,IDX,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,998.947854346975,1009.96090587304,1172.4763779088
IDA total,IDA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1152.68086372477,1335.68499111395,1361.99684226188
Late-demographic dividend,LTE,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,5768.62114292589,8494.83703739145,9876.29895996849
Latin America & Caribbean,LCN,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,8040.84581267756,9122.30093473327,7601.10613405841
Latin America & Caribbean (excluding high income),LAC,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,7619.21307581567,8783.01417992311,7174.32201343857
Latin America & the Caribbean (IDA & IBRD countries),TLA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,8004.48084558297,9064.99352633891,7493.90013666789
Least developed countries: UN classification,LDC,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,776.70024098349,1010.6683573469,1103.37133986056
Low & middle income,LMY,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,3310.04506509365,4506.50315189364,4844.83614653197
Low income,LIC,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1073.25328366814,759.810046345748,688.935336095456
Lower middle income,LMC,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1668.81853356761,2159.11491960186,2280.68284351749
Middle East & North Africa,MEA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,7402.15511391561,8090.31366538879,7048.90154133369
